product_id,product_name,main_category,sub_category,discounted_price,actual_price,discount_pct,rating,rating_count,price_tier_label
B0B2RBP83P,"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6"" FHD Thin & Light Laptop(8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Xbox Game Pass/Platinum Grey/1.7Kg), 81X800LGIN",Computers&Accessories,Laptops,37247.0,59890.0,38.0,4.0,323,저가
B076B8G5D8,Boya ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black),MusicalInstruments,Microphones,798.0,1995.0,60.0,4.0,68664,저가
B07Q4QV1DL,"ELV Aluminum Adjustable Mobile Phone Foldable Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Black)",Electronics,Mobiles&Accessories,269.0,1499.0,82.0,4.5,28978,저가
B0B23LW7NV,Spigen EZ Fit Tempered Glass Screen Protector for iPhone 14 Pro Max - 2 Pack (Sensor Protection),Electronics,Mobiles&Accessories,999.0,2899.0,66.0,4.7,7779,중가
B07WDKLDRX,"iQOO Neo 6 5G (Dark Nova, 8GB RAM, 128GB Storage) | Snapdragon® 870 5G | 80W FlashCharge",Electronics,Mobiles&Accessories,28999.0,34999.0,17.0,4.4,20311,고가
B08L879JSN,"Acer EK220Q 21.5 Inch (54.61 cm) Full HD (1920x1080) VA Panel LCD Monitor with LED Back Light I 250 Nits I HDMI, VGA Ports I Eye Care Features Like Bluelight Shield, Flickerless & Comfy View (Black)",Computers&Accessories,Monitors,6299.0,13750.0,54.0,4.2,2014,저가
B08J82K4GX,"Samsung 24-inch(60.46cm) FHD Monitor, IPS, 75 Hz, Bezel Less Design, AMD FreeSync, Flicker Free, HDMI, D-sub, (LF24T350FHWXXL, Dark Blue Gray)",Computers&Accessories,Monitors,10099.0,19110.0,47.0,4.3,2623,중가
B098K3H92Z,"TP-Link USB Bluetooth Adapter for PC, 5.0 Bluetooth Dongle Receiver (UB500) Supports Windows 11/10/8.1/7 for Desktop, Laptop, Mouse, Keyboard, Printers, Headsets, Speakers, PS4/ Xbox Controllers",Computers&Accessories,NetworkingDevices,599.0,899.0,33.0,4.3,95116,저가
B00V4BGDKU,TP-Link UE300 USB 3.0 to RJ45 Gigabit Ethernet Network Adapter - Plug and Play,Computers&Accessories,NetworkingDevices,1099.0,1899.0,42.0,4.5,22420,중가
B07ZKD8T1Q,Cuzor 12V Mini ups for WiFi Router | Power Backup up to 4 Hours | Replaceable Battery | Ups for Wi-Fi Router and Modem | Ups for Router up to 2A | ups for uninterrupted wi-fi,Computers&Accessories,NetworkingDevices,1499.0,2999.0,50.0,4.5,8656,고가
B0752LL57V,Casio MJ-12D 150 Steps Check and Correct Desktop Calculator,OfficeProducts,OfficeElectronics,440.0,440.0,0.0,4.5,8610,저가
B00K32PEW4,"Casio MJ-120D 150 Steps Check and Correct Desktop Calculator with Tax Keys, Black",OfficeProducts,OfficeElectronics,535.0,535.0,0.0,4.4,4426,중가
B0846D5CBP,"Casio FX-991ES Plus-2nd Edition Scientific Calculator, Black",OfficeProducts,OfficeElectronics,1295.0,1295.0,0.0,4.5,5760,고가
B00N1U7JXM,"3M Post-it Sticky Note Cube, 200 Sheets (4 Colors x 50 Sheets) | 3"" x 3"" Size | For notes, reminders, study, school and organizing",OfficeProducts,OfficePaperProducts,90.0,175.0,49.0,4.4,7429,저가
B00LZLQ624,"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages",OfficeProducts,OfficePaperProducts,157.0,160.0,2.0,4.5,8618,중가
B00LHZWD0C,"Luxor 5 Subject Single Ruled Notebook - A4, 70 GSM, 300 pages",OfficeProducts,OfficePaperProducts,252.0,315.0,20.0,4.5,3785,고가
B0083T231O,Belkin Essential Series 4-Socket Surge Protector Universal Socket with 5ft Heavy Duty Cable (Grey),Electronics,PowerAccessories,1289.0,1499.0,14.0,4.5,20668,저가
B07L5L4GTB,Epson 003 65 ml for EcoTank L1110/L3100/L3101/L3110/L3115/L3116/L3150/L3151/L3152/L3156/L5190 Black Ink Bottle,Computers&Accessories,"Printers,Inks&Accessories",309.0,404.0,24.0,4.4,8614,저가
B07SY4C3TD,HP GT 53 XL Cartridge Ink,Computers&Accessories,"Printers,Inks&Accessories",596.0,723.0,18.0,4.4,3219,중가
B08CYNJ5KY,HP 682 Black Original Ink Cartridge,Computers&Accessories,"Printers,Inks&Accessories",828.0,861.0,4.0,4.2,4567,고가
B09XXZXQC1,"Xiaomi Pad 5| Qualcomm Snapdragon 860| 120Hz Refresh Rate| 6GB, 128GB| 2.5K+ Display (10.95-inch/27.81cm)|1 Billion Colours| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Gray",Computers&Accessories,Tablets,26999.0,37999.0,29.0,4.6,2886,저가
B0BMM7R92G,Noise_Colorfit Smart Watch Charger 2 Pin USB Fast Charger Magnetic Charging Cable Adapter (Smart Watch Charger 2 pin),Electronics,WearableTechnology,249.0,999.0,75.0,4.5,38,저가
B0B3RRWSF6,"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",Electronics,WearableTechnology,1998.0,9999.0,80.0,4.3,27709,중가
B0BNXFDTZ2,"Fire-Boltt Tank 1.85"" Bluetooth Calling Smart Watch, 123 Sports Mode, 8 UI Interactions, Built in Speaker & Mic, 7 Days Battery & Fire-Boltt Health Suite",Electronics,WearableTechnology,2999.0,11999.0,75.0,4.4,768,고가
